H,L,Lf,V,MV
11.5,5,11,1317,162.9558343
11.5,5,13,1272.8,133.2581067
11.5,5,15,1225.6,111.2075614
11.5,5,17,1178.3,94.33737351
11.5,7,7,1147,312.2268431
11.5,7,9,1453,435.0759924
11.5,7,11,1470.1,254.6590136
11.5,7,13,1435.5,210.4091901
11.5,7,15,1388.8,176.4222306
11.5,7,17,1337.6,149.9278105
11.5,9,7,1021,216.1663516
11.5,9,9,1326,360.952741
11.5,9,11,1564.9,468.5825331
11.5,9,13,1575.6,296.9285444
11.5,9,15,1542.2,251.882949
11.5,9,17,1493.8,215.2746358
11.5,11,7,920,159.3675889
11.5,11,9,1201,267.4851349
11.5,11,11,1467.7,399.5251418
11.5,11,13,1662.4,497.7772401
11.5,11,15,1671,333.568242
11.5,11,17,1637.4,288.4067163
11.5,13,7,837,122.6837284
11.5,13,9,1094,206.168969
11.5,13,11,1343.8,309.5214774
11.5,13,13,1584.4,431.2922495
11.5,13,15,1749.3,523.7979584
11.5,13,17,1755.6,365.4490381
11.5,15,7,768,97.56068053
11.5,15,9,1005,164.1436673
11.5,15,11,1236.3,246.7925898
11.5,15,13,1462.9,345.1227221
11.5,15,15,1683,458.1323251
11.5,15,17,1826.2,546.8243478
11.5,17,7,712,79.80607139
11.5,17,9,931,134.1683532
11.5,17,11,1144.4,201.5711776
11.5,17,13,1356,282.2675414
11.5,17,15,1565,375.8923607
11.5,17,17,1768,481.2703214
12.5,5,7,1325,335.808
12.5,5,9,1460,186.88
12.5,5,11,1416,148.2938182
12.5,5,13,1372.1,121.5891692
12.5,5,15,1326.5,101.8752
12.5,5,17,1279.9,86.73204706
12.5,7,7,1175,270.72
12.5,7,9,1511,382.94784
12.5,7,11,1566,229.6040727
12.5,7,13,1535.1,190.4468677
12.5,7,15,1491.2,160.333824
12.5,7,17,1442,136.8033882
12.5,9,7,1049,187.9808
12.5,9,9,1375,316.8
12.5,9,11,1649.3,417.998592
12.5,9,13,1674.3,267.0637292
12.5,9,15,1645.5,227.47392
12.5,9,17,1600.5,195.2233412
12.5,11,7,948,138.9940364
12.5,11,9,1249,235.4478545
12.5,11,11,1530.1,352.53504
12.5,11,13,1754.3,444.609792
12.5,11,15,1773.7,299.684352
12.5,11,17,1745.4,260.2083388
12.5,13,7,865,107.3132308
12.5,13,9,1142,182.1577846
12.5,13,11,1404.7,273.8516677
12.5,13,13,1657.9,381.98016
12.5,13,15,1847.8,468.306432
12.5,13,17,1863.7,328.3620141
12.5,15,7,797,85.69344
12.5,15,9,1051,145.29024
12.5,15,11,1294.9,218.786304
12.5,15,13,1534.4,306.388992
12.5,15,15,1765.8,406.84032
12.5,15,17,1930.7,489.316608
12.5,17,7,738,70.01449412
12.5,17,9,975,118.9270588
12.5,17,11,1201.5,179.1224471
12.5,17,13,1425,251.0682353
12.5,17,15,1645.5,334.5204706
12.5,17,17,1859.3,428.38272
13.5,5,7,1334,289.8567901
13.5,5,9,1568,172.0713306
13.5,5,11,1515,136.026936
13.5,5,13,1471.6,111.8024691
13.5,5,15,1426.5,93.92592593
13.5,5,17,1380.9,80.22657952
13.5,7,7,1180,233.0864198
13.5,7,9,1560,338.962963
13.5,7,11,1663,209.0415264
13.5,7,13,1633.3,173.7223172
13.5,7,15,1591.7,146.7246091
13.5,7,17,1544.5,125.6238199
13.5,9,7,1057,162.3923182
13.5,9,9,1420,280.4938272
13.5,9,11,1716.5,372.9679012
13.5,9,13,1770.6,242.1333333
13.5,9,15,1746.3,206.9688889
13.5,9,17,1704.6,178.2588235
13.5,11,7,958,120.4219978
13.5,11,9,1293,208.969697
13.5,11,11,1587.2,313.5209877
13.5,11,13,1840.6,399.9328395
13.5,11,15,1873.5,271.3876543
13.5,11,17,1850.4,236.5071895
13.5,13,7,877,93.28015195
13.5,13,9,1185,162.0512821
13.5,13,11,1461.2,244.2271605
13.5,13,13,1725.9,340.9185185
13.5,13,15,1941.4,421.8350617
13.5,13,17,1968,297.2723312
13.5,15,7,809,74.5744856
13.5,15,9,1093,129.5407407
13.5,15,11,1350.4,195.6134979
13.5,15,13,1600.8,274.0464198
13.5,15,15,1843.2,364.0888889
13.5,15,17,2030.4,441.1733333
13.5,17,7,752,61.16485113
13.5,17,9,1016,106.248366
13.5,17,11,1254.7,160.368337
13.5,17,13,1489.6,225.0085694
13.5,17,15,1720.9,299.9389978
13.5,17,17,1945.2,384.237037
14.5,5,9,1682,160
14.5,5,11,1616,125.7723489
14.5,5,13,1568.9,103.3209549
14.5,5,15,1524.8,87.02782402
14.5,5,17,1480.3,74.5482269
14.5,7,9,1601,301.5438763
14.5,7,11,1760.4,191.8152848
14.5,7,13,1730.9,159.585402
14.5,7,15,1691,135.1191439
14.5,7,17,1645.6,116.0218787
14.5,9,9,1458,249.6456599
14.5,9,11,1773.1,333.9584304
14.5,9,13,1865.9,221.1841581
14.5,9,15,1845.6,189.6074197
14.5,9,17,1806.8,163.783507
14.5,11,9,1329,186.1835477
14.5,11,11,1639.6,280.7400713
14.5,11,13,1914,360.4965517
14.5,11,15,1970.7,247.4505589
14.5,11,17,1952.7,216.3444639
14.5,13,9,1221,144.7375835
14.5,13,11,1511.4,218.975359
14.5,13,13,1788.5,306.235434
14.5,13,15,2028.8,382.1188109
14.5,13,17,2068.8,270.8815556
14.5,15,9,1129,115.9876338
14.5,15,11,1400.4,175.8409512
14.5,15,13,1662.7,246.735981
14.5,15,15,1915.8,328.0323424
14.5,15,17,2125.3,400.2943163
14.5,17,9,1051,95.27145555
14.5,17,11,1304,144.473386
14.5,17,13,1550.1,202.9647618
14.5,17,15,1791.8,270.706302
14.5,17,17,2026,346.901308
15.5,5,9,1775,147.7627471
15.5,5,11,1720,117.1506953
15.5,5,13,1667.1,96.07876411
15.5,5,15,1622.9,81.06056191
15.5,5,17,1579.2,69.59809022
15.5,7,9,1635,269.4942768
15.5,7,11,1859.1,177.2748841
15.5,7,13,1829,147.573201
15.5,7,15,1789.7,125.1486368
15.5,7,17,1745.7,107.7104487
15.5,9,9,1488,222.9677419
15.5,9,11,1824.1,300.6633091
15.5,9,13,1959.9,203.3162891
15.5,9,15,1943.2,174.7060146
15.5,9,17,1907.2,151.2965171
15.5,11,9,1361,166.8580078
15.5,11,11,1687.5,252.8616025
15.5,11,13,1977.3,325.9150052
15.5,11,15,2066.3,227.0564828
15.5,11,17,2053.2,199.0738079
15.5,13,9,1252,129.8800929
15.5,13,11,1559.6,197.7432482
15.5,13,13,1847.5,276.8366285
15.5,13,15,2106.7,347.2437877
15.5,13,17,2167.4,248.3548265
15.5,15,9,1160,104.2913632
15.5,15,11,1447.1,159.015359
15.5,15,13,1720.2,223.3932986
15.5,15,15,1983.7,297.2453694
15.5,15,17,2214.9,365.0782102
15.5,17,9,1082,85.83411887
15.5,17,11,1349.2,130.8154986
15.5,17,13,1606.6,184.0947053
15.5,17,15,1858.4,245.7087593
15.5,17,17,2102.1,314.9868887
16.5,5,9,1819,133.6271809
16.5,5,11,1830,109.9924869
16.5,5,13,1768.4,89.93769866
16.5,5,15,1722,75.90082645
16.5,5,17,1678.5,65.2795333
16.5,7,9,1658,241.1636364
16.5,7,11,1959.8,164.9117956
16.5,7,13,1928,137.2765416
16.5,7,15,1888,116.5046832
16.5,7,17,1845.1,100.462421
16.5,9,9,1508,199.4049587
16.5,9,11,1869.9,271.9854545
16.5,9,13,2053.4,187.978131
16.5,9,15,2040.1,161.8591736
16.5,9,17,2006.4,140.457754
16.5,11,9,1382,149.5176559
16.5,11,11,1730.2,228.7867769
16.5,11,13,2034.9,295.9854545
16.5,11,15,2159.9,209.4448485
16.5,11,17,2151.7,184.1026738
16.5,13,9,1274,116.6280992
16.5,13,11,1602.2,179.2671329
16.5,13,13,1902.1,251.5173554
16.5,13,15,2174.5,316.2909091
16.5,13,17,2263.4,228.8707827
16.5,15,9,1183,93.85785124
16.5,15,11,1489.2,144.4072727
16.5,15,13,1774,203.3013774
16.5,15,15,2047.5,270.7438017
16.5,15,17,2295.4,333.8763636
16.5,17,9,1104,77.28536704
16.5,17,11,1390.8,118.9989305
16.5,17,13,1659.3,167.7853184
16.5,17,15,1921,224.1322314
16.5,17,17,2174.1,287.4842975
17.5,5,9,1829,119.444898
17.5,5,11,1950,104.1929499
17.5,5,13,1872.3,84.65029827
17.5,5,15,1822.3,71.40440816
17.5,5,17,1778.1,61.47572629
17.5,7,9,1655,214.0016327
17.5,7,11,2041.2,152.6923636
17.5,7,13,2029.4,128.4543297
17.5,7,15,1987.1,109.0066286
17.5,7,17,1944.3,94.11065546
17.5,9,9,1506,177.0318367
17.5,9,11,1911.4,247.1557224
17.5,9,13,2148,174.8074097
17.5,9,15,2138,150.794449
17.5,9,17,2105.6,131.0375798
17.5,11,9,1381,132.8219666
17.5,11,11,1769.2,207.9712653
17.5,11,13,2088.3,270.0299755
17.5,11,15,2252.6,194.1833143
17.5,11,17,2249.5,171.102425
17.5,13,9,1275,103.7613815
17.5,13,11,1639.7,163.0948069
17.5,13,13,1952.6,229.5301224
17.5,13,15,2237.5,289.322449
17.5,13,17,2357.6,211.9292773
17.5,15,9,1186,83.64930612
17.5,15,11,1526.7,131.6077714
17.5,15,13,1823.9,185.8144653
17.5,15,15,2107.4,247.7270204
17.5,15,17,2367.1,306.0805224
17.5,17,9,1108,68.95404562
17.5,17,11,1428.2,108.6323553
17.5,17,13,1708.5,153.5804082
17.5,17,15,1979.8,205.3478031
17.5,17,17,2242,263.5493878
18.5,5,11,2083.2,99.60183279
18.5,5,13,1981.9,80.1802551
18.5,5,15,1925.4,67.50854638
18.5,5,17,1879.4,58.14325613
18.5,7,11,2092.4,140.0583837
18.5,7,13,2134.6,120.9010957
18.5,7,15,2088.1,102.4984076
18.5,7,17,2044.4,88.54703734
18.5,9,11,1947.7,225.3584222
18.5,9,13,2240.7,163.1706018
18.5,9,15,2236.8,141.1683857
18.5,9,17,2205.1,122.7950672
18.5,11,11,1802.4,189.5877283
18.5,11,13,2137.5,247.3192111
18.5,11,15,2344,180.8081812
18.5,11,17,2346.8,159.7272032
18.5,13,11,1672.9,148.8943979
18.5,13,13,1999.6,210.3304602
18.5,13,15,2296.3,265.6931483
18.5,13,17,2450.3,197.0936966
18.5,15,11,1559.9,120.3253762
18.5,15,13,1870.3,170.4992257
18.5,15,15,2163.8,227.6020453
18.5,15,17,2434.2,281.6488532
18.5,17,11,1461.2,99.45175955
18.5,17,13,1754.2,141.101809
18.5,17,15,2035.4,188.9083487
18.5,17,17,2306.3,242.5910884
